"变量","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","PC101","PC102","PC103","PC104","PC105","PC106","PC107","PC108","PC109","PC110","PC111","PC112","PC113","PC114","PC115","PC116","PC117","PC118","PC119","PC120","PC121","PC122","PC123","PC124","PC125"
"C-LLB",0.061981,0.068916,0.103975,0.083786,0.068141,0.079679,0.085523,0.11316,0.064567,0.094123,0.083618,0.092558,0.060538,0.077893,0.114052,0.07413,0.102698,0.089017,0.100958,0.080388,0.094605,0.078616,0.098698,0.096382,0.089733,0.079255,0.070458,0.089578,0.11493,0.107236,0.076128,0.108271,0.11989,0.097972,0.08787,0.088102,0.06653,0.125154,0.089816,0.146414,0.07148,0.080854,0.086493,0.091249,0.079134,0.09752,0.109931,0.11804,0.080854,0.061836,0.083305,0.088476,0.086285,0.057357,0.087934,0.106052,0.114372,0.090329,0.084964,0.12145,0.078819,0.088353,0.096139,0.066994,0.093961,0.085825,0.105415,0.094338,0.110297,0.085572,0.091907,0.085892,0.09486,0.075554,0.091841,0.089693,0.069721,0.081997,0.091418,0.081732,0.078584,0.080982,0.079888,0.063466,0.078204,0.098396,0.090155,0.081104,0.108696,0.080998,0.080349,0.114356,0.06254,0.085683,0.075567,0.088475,0.091097,0.095546,0.091189,0.083183,0.094696,0.077382,0.080956,0.086723,0.057002,0.107695,0.078311,0.087383,0.071296,0.078726,0.075132,0.06848,0.063785,0.082462,0.128163,0.087688,0.105351,0.086747,0.063686,0.082869,0.088967,0.08394,0.104534,0.082533,0.088803
"C-RLB",0.021599,0.13796,0.031287,0.037942,-0.004073,0.040649,0.041877,-0.004115,0.04938,0.020819,0.001149,0.099838,0.010367,0.105021,0.040885,-0.011215,0.10845,0.107221,0.090534,-0.052143,0.108798,-0.003971,0.103701,0.082734,0.10753,0.013721,0.023144,0.128004,0.133293,0.157932,0.140741,0.056351,0.111902,0.07346,0.030643,0.038854,0.126618,0.081156,0.144693,0.075184,0.001443,0.147957,0.062994,0.117376,0.089231,0.038884,0.088436,0.203815,0.014412,0.022177,0.146653,0.144161,0.060899,0.050132,0.143705,0.097764,0.117172,0.108621,0.068851,0.059513,0.006206,-0.010597,0.052926,0.073333,0.03567,-0.09619,-0.063839,-0.106196,-0.044009,-0.060525,-0.083521,-0.036559,-0.092028,-0.035953,-0.054526,-0.120799,-0.112637,-0.042171,-0.074513,-0.078452,-0.071552,-0.099418,-0.068437,-0.10855,-0.048956,-0.0906,-0.103579,-0.083816,-0.085134,-0.093335,-0.123627,-0.047548,-0.102761,-0.138802,-0.082429,-0.042119,-0.117066,-0.092756,-0.1174,-0.082353,-0.094751,-0.080699,-0.059917,-0.101109,-0.059618,-0.041793,-0.098438,-0.07641,-0.141405,-0.12496,-0.09631,-0.120602,-0.176105,-0.160548,-0.035593,-0.019515,-0.078602,-0.13206,-0.122912,-0.094116,-0.070259,-0.022466,-0.084133,-0.069964,-0.019566
"T-LLB",-0.055399,-0.141986,0.069192,-0.15457,-0.121593,0.0258,0.116001,-0.080832,-0.093838,-0.133841,-0.08948,0.115107,-0.095293,-0.017488,-0.057545,-0.061567,0.171714,-0.202649,0.036261,0.028592,-0.002425,-0.080527,0.107122,-0.028314,-0.202323,-0.157095,-0.058222,0.156332,0.025749,0.123158,-0.098292,-0.124955,0.170159,0.012891,-0.100769,-0.183626,0.047071,0.003633,0.151062,-0.02063,-0.209881,0.112302,-0.136022,-0.01445,0.045214,0.086452,-0.135761,-0.050783,-0.156368,-0.02949,0.179591,0.140434,0.117551,-0.085188,0.106479,0.097936,-0.167074,0.21087,0.037855,-0.094854,-0.157802,-0.103883,-0.059265,-0.038438,0.023234,-0.001533,-0.025953,0.016726,0.019462,0.079081,0.002464,0.072627,-0.032567,0.013295,0.043594,-0.08961,0.036129,0.001548,0.061381,0.005196,-0.011247,0.001618,-0.030888,0.025662,0.117458,-0.0831,0.016092,0.062724,0.021918,0.007095,0.069424,-0.076088,0.044197,-0.026224,-0.01014,-0.047427,-0.017179,-0.08188,0.024839,0.015914,0.039902,0.06517,0.091757,0.011871,0.016279,0.015526,0.036593,0.071743,-0.02615,0.084265,0.042572,0.08935,0.068286,-0.001025,0.050044,0.146104,-0.029098,0.04975,-0.033608,-0.033388,-0.019671,0.077696,-0.022333,0.092771,0.078261
"T-RLB",0.108269,0.139918,0.101124,-0.007213,0.002735,-0.045496,0.074134,0.004346,0.072834,0.046889,-0.041956,0.008215,-0.132754,0.186075,-0.063844,-0.042359,0.15657,0.032608,-0.045401,0.042035,0.108493,0.020641,0.087369,-0.114473,0.032817,0.083784,-0.073169,0.005718,-0.019028,0.025364,0.026999,-0.043699,0.16895,-0.112703,0.06373,-0.032649,-0.03023,0.076801,0.043663,0.202357,-0.031021,0.009789,0.076239,-0.064605,-0.063597,-0.111618,-0.017238,-0.161461,0.084251,0.097655,-0.01454,-0.017599,-0.177506,-0.02653,0.046584,0.076454,-0.020824,-0.206467,-0.125482,-0.217364,0.067771,-0.1002,-0.078518,-0.220552,-0.018311,0.002594,0.074426,0.031967,-0.029437,0.079701,-0.032326,-0.02405,-0.085275,0.022225,-0.261117,0.017543,-0.109813,-0.104372,-0.041972,-0.002227,0.036659,0.011677,0.031392,-0.036368,0.010945,-0.091546,-0.057898,-0.086383,-0.002542,-0.035025,-0.068977,0.052639,-0.029718,0.135013,-0.005522,0.153052,0.033003,-0.074889,0.056794,0.080812,-0.124421,0.069077,-0.081141,-0.031536,0.051674,0.017885,-0.030903,-0.02833,0.071995,-0.076619,0.146337,0.134943,0.134643,-6e-06,0.158701,-0.011113,-0.132905,-0.004374,-0.029783,-0.119987,0.039737,0.148148,0.147034,-0.091829,0.01534
"L-LLB",-0.002662,-0.340167,0.065588,0.093329,0.009628,-0.202135,0.092344,0.082923,-0.015716,-0.05493,-0.057711,-0.074831,-0.02146,-0.245928,0.174881,0.004331,-0.179148,-0.071968,-0.02127,-0.010152,-0.150615,-0.089878,-0.014068,-0.030098,-0.07261,-0.083206,-0.023786,0.062933,-0.095815,-0.081941,0.142587,0.223502,0.03003,-0.029817,-0.062309,-0.060453,0.007109,0.109829,-0.04618,0.31478,-0.015322,0.123419,0.126002,-0.014804,-0.048567,-0.174268,0.14739,0.221947,-0.084639,-0.071264,-0.082898,0.032741,-0.055943,-0.032694,0.08764,0.027767,-0.029916,0.000724,-0.03393,0.090406,-0.090986,-0.0167,-0.061082,-0.045674,-0.131709,0.097837,0.0864,-0.071814,-0.030101,0.015824,0.062192,0.062451,-0.056673,-0.006687,-0.106133,0.000498,-0.027867,0.053264,-0.068149,0.0227,0.022012,0.047039,0.019123,0.006497,0.001403,0.014943,0.024634,0.008645,0.043518,-0.054532,0.041447,0.042353,-0.024511,-0.029131,0.043822,0.136954,-0.089841,0.000123,0.078243,0.04578,-0.04245,-0.023342,-0.03772,-0.075285,0.059339,0.07737,-0.037355,-0.085665,-0.031782,0.080825,-0.104965,-0.058765,-0.061755,-0.049547,0.069696,0.063042,-0.106098,-0.020401,-0.097868,0.002278,0.035598,0.005735,0.0398,0.052523,0.094628
"L-RLB",-0.006584,0.074382,-0.035881,-0.060424,-0.084316,-0.046724,0.036832,0.001465,-0.058533,0.022868,-0.017035,-0.104308,-0.030943,-0.042449,0.116923,-0.136858,-0.005597,-0.098584,-0.084469,-0.276926,0.04186,-0.019866,-0.056981,-0.068773,-0.09988,0.083026,-0.036104,-0.004725,0.120933,-0.029385,0.128724,-0.09209,-0.069497,0.083066,-0.120895,0.107552,0.133285,0.069885,-0.026876,0.074669,0.019289,-0.091991,-0.084832,0.162525,0.082341,0.020825,0.008114,0.01428,0.080134,-0.045784,0.060886,-0.053233,-0.117803,-0.048543,-0.074389,-0.236533,0.112532,0.034916,0.111167,-0.281208,-0.240741,0.009173,-0.022651,0.058443,0.016289,-0.133188,0.102715,0.131818,0.169396,0.044318,0.058417,0.080231,0.139113,0.054254,-0.063403,0.022881,-0.067528,0.02819,0.014789,-0.10625,0.012051,-0.01149,0.128858,-0.089706,0.095362,0.113631,0.07324,0.034561,0.022303,0.002889,-0.106238,-0.026101,-0.064014,-0.126616,-0.018176,-0.006857,-0.004137,0.022844,-0.012001,0.098873,0.085286,-0.011145,-0.050932,-0.025911,-0.023299,0.123696,-0.037087,-0.082469,-0.014421,-0.044408,0.080365,-0.035869,-0.075638,-0.026571,0.197631,0.02562,0.187278,-0.056168,-0.002672,-0.101582,-0.118669,0.004447,0.0898,0.02697,0.001984
"C-FFT",-0.007285,-0.1691,-0.128916,-0.166651,-0.055236,0.011158,-0.25326,0.098273,0.141513,0.003094,0.070179,0.028491,0.050741,-0.205392,-0.047811,0.03968,-0.054876,0.015156,-0.06249,0.132007,-0.136128,0.030387,0.070794,0.078386,0.013109,0.049218,0.089649,-0.1074,0.099895,0.165108,-0.020677,-0.046629,0.124893,-0.028797,0.014854,0.066845,0.046744,0.053194,0.05066,0.029671,0.060874,0.084351,0.173678,-0.069,0.109531,0.30615,0.032201,-0.204665,0.044648,0.034968,0.016042,0.144282,-0.188611,0.012526,-0.045862,-0.189014,0.011161,0.116137,-0.059518,0.007027,-0.053019,0.024453,-0.245102,0.139761,-0.076839,-0.119035,-0.017032,0.095686,-0.030885,-0.06151,-0.00052,0.056831,-0.071848,-0.002541,-0.082338,0.032304,-0.051491,-0.043548,0.02852,-0.023617,0.024935,0.05088,-0.06362,-0.006041,0.087926,-0.001355,-0.065716,-0.026549,0.076413,0.064527,0.034965,-0.002417,-0.063538,0.003171,0.156286,0.099609,0.044623,-0.069209,-0.063588,0.06312,-0.104762,-0.016314,0.021561,0.041263,0.007339,1.3e-05,0.007941,0.07696,0.021374,-0.065984,-0.001905,-0.013935,-0.09731,0.094372,-0.046461,-0.133921,-0.055196,0.008871,-0.056987,-0.092966,0.081808,0.027404,-0.032372,-0.018216,0.09333
"C-BF",0.247473,0.068458,0.042058,0.016354,-0.076087,0.033261,0.069945,0.021763,0.126275,0.060063,-0.073449,0.118488,0.277461,0.10898,-0.154295,-0.003875,-0.020111,-0.02121,0.087377,-0.074953,-0.012654,-0.135028,-0.013045,-0.019202,-0.017178,-0.069718,-0.012466,-0.015244,0.054271,-0.030456,0.029642,-0.034615,-0.236847,-0.081807,-0.218411,-0.114004,0.090497,-0.009664,-0.064088,0.01608,-0.02562,0.073736,0.110897,-0.008846,-0.040834,-0.111594,-0.070531,0.191662,-0.060715,0.056808,-0.009091,-0.021098,-0.083807,0.05542,0.04163,-0.052656,0.127689,0.027249,0.029997,-0.101918,0.071421,-0.205144,-0.053661,-0.05009,-0.092674,-0.057313,-0.028607,0.003748,0.001436,0.041274,-0.115987,-0.071213,0.089174,0.060226,0.094911,0.089206,0.082564,-0.069828,-0.023827,0.053939,0.004812,-0.040615,0.005466,-0.083394,0.006166,0.144204,-0.031834,0.025352,-0.008817,0.100666,0.118194,-0.078264,-0.061183,-0.095593,-0.02089,0.071117,-0.003834,-0.104686,-0.013187,0.152362,0.074926,0.007427,0.132945,0.0762,-0.033677,-0.031836,0.037865,0.081875,0.034748,-0.054842,-0.033606,-0.061323,-0.021678,0.097306,-0.030576,-0.200775,-0.132239,0.082459,-0.008519,0.054405,0.071103,0.196967,-0.141138,0.052912,0.160401
"T-FFT",-0.194828,0.060335,-0.095482,0.052803,0.044289,0.043147,0.055648,0.010794,0.149488,0.045429,-0.020925,-0.035643,-0.041908,0.093172,0.022056,0.214978,-0.156665,0.026609,-0.121965,-0.023743,-0.022637,-0.09121,0.051343,-0.168661,0.02637,-0.107416,0.002248,0.02454,0.241032,-0.074429,-0.082933,0.020324,-0.107638,-0.005874,0.024733,0.045907,0.00073,0.024507,0.001993,-0.048308,0.026665,-0.196768,0.075119,0.012732,0.063519,0.128503,-0.101962,0.013727,-0.10795,-0.099226,0.089223,-0.148535,0.1238,0.031818,0.08318,-0.028193,0.104401,0.110553,-0.115689,0.014635,0.009344,-0.131157,0.22987,0.047428,-0.107911,0.015867,0.065798,-0.001395,-0.089042,0.048024,0.024853,0.064992,-0.167045,-0.027906,-0.12276,-0.097927,0.028358,-0.011329,0.115239,-0.01196,0.058816,0.19057,0.064023,0.181464,0.063063,0.058192,-0.011014,-0.114881,0.013092,0.12636,0.045998,-0.001765,0.002073,-0.113387,0.01166,0.027776,-0.103669,0.045073,0.012075,0.059064,-0.085035,-0.064084,0.109351,-0.136299,0.032944,-0.083815,-0.035939,-0.042236,0.078562,-0.002588,0.047108,0.054238,0.134536,0.016738,0.014101,0.062521,-0.093813,-0.065542,-0.122267,-0.073134,-0.141379,0.066971,0.027261,-0.08563,0.125515
"T-BF",0.113897,0.23693,-0.012422,0.113735,0.0778,-0.084913,-0.026568,-0.049176,-0.045185,-0.09818,-0.038048,-0.00408,-0.012929,-0.110871,0.252425,0.015811,-0.01643,-0.042696,0.013766,-0.140858,0.086099,0.070759,-0.097892,0.055972,-0.038341,0.111096,0.03218,-0.057232,0.023125,-0.081102,0.017652,0.108307,0.045084,-0.085082,0.072975,0.030269,-0.08485,-0.132829,0.038551,-0.097718,0.049375,0.169918,0.03456,-0.120529,-0.183685,-0.049179,-0.073855,0.003322,0.12082,0.088606,0.174404,0.01328,0.074436,-0.269472,0.013459,0.056721,-0.054042,0.108768,-0.064133,-0.136852,-0.123681,-0.031564,0.059713,0.235264,-0.102229,-0.019817,-0.018642,0.039093,0.020645,-0.040538,0.007583,-0.039786,-0.04332,0.017279,-0.036358,-0.046674,0.066824,-0.055439,-0.161284,-0.03812,0.032012,0.06157,0.039736,0.149165,-0.044064,-0.039627,-0.054783,0.060095,-0.061764,-0.011818,-0.033659,0.06033,0.029964,-0.004435,0.207094,0.09238,-4.9e-05,-0.047417,-0.067871,0.100627,0.006663,-0.049131,0.064144,-0.038975,0.119056,-0.038122,0.032517,0.01513,0.056208,0.001473,0.042728,0.077393,0.032447,0.000624,-0.083848,0.00902,0.01023,-0.02786,-0.01723,-0.043729,0.112151,0.106152,-0.261867,0.154265,-0.049787
"L-FFT",0.003477,0.008055,0.137224,-0.121767,-0.037429,-0.01899,-0.082168,-0.061368,-0.173053,0.038228,-0.048608,-0.022584,-0.010285,0.122331,-0.040034,-0.158373,-0.067251,0.049844,-0.029873,-0.066303,0.037385,0.029293,-0.011082,-0.170932,0.061066,0.001014,-0.047527,0.023883,-0.056763,0.023837,-0.13834,-0.119675,0.026012,0.041801,-0.007845,-0.054951,-0.050353,-0.010965,-0.005427,0.005306,-0.078099,0.188316,0.048346,0.019429,-0.16283,0.077179,-0.347312,0.072593,0.026071,-0.114637,-0.107609,-0.020084,-0.024778,0.162148,-0.034597,-0.046361,0.120121,0.097125,0.108151,0.269608,0.091467,-0.049845,-0.000474,0.147327,0.04052,-0.142526,0.204086,-0.034737,-0.033465,0.020406,0.121116,0.008122,-0.046775,0.038448,-0.061903,-0.010084,-0.06182,0.053402,0.002224,-0.000326,-0.013871,-0.059127,0.135088,-0.003662,0.004868,0.122583,0.064379,0.096215,-0.043908,-0.02216,-0.111849,0.121289,0.154095,0.070496,0.128576,0.132808,-0.02991,0.0129,0.081544,-0.071979,-0.0165,0.006123,0.002173,-0.130256,0.194245,0.014449,-0.020351,0.018006,-0.046722,-0.086907,-0.021853,0.057977,-0.100409,-0.02539,-0.04828,-0.13098,-0.061101,0.013208,-0.100105,-0.022155,0.028033,-0.035115,0.071818,0.090329,-0.042902
"L-BF",0.088002,0.1668,-0.199377,-0.120481,0.072708,0.024433,0.209189,0.076601,-0.078262,0.038713,0.044155,-0.08014,0.110868,0.060859,0.092237,-0.052236,-0.256561,0.116447,0.050551,0.137148,-0.162558,-0.108561,0.080578,-0.016465,0.119176,0.01432,0.078776,0.052956,-0.070323,0.043206,-0.057652,0.051299,0.326872,-0.197757,-0.064168,0.018247,-0.027689,-0.090391,-0.026463,-0.132138,-0.159534,0.017988,-0.112478,-0.001214,-0.005624,0.008212,0.01104,-0.074309,0.020414,-0.125413,-0.014501,0.002741,-0.079378,-0.109393,0.101712,-0.078997,0.052465,-0.042397,0.143833,0.12393,-0.14354,-0.060023,-0.0382,0.002432,0.042151,0.083445,0.03274,-0.087649,0.082185,0.062484,-0.015952,-0.103066,0.107099,-0.012727,-0.040328,-0.041801,-0.048347,0.076406,-0.070055,0.131667,0.018681,0.039662,0.090285,0.067279,-0.007896,0.054673,0.003177,-0.11351,0.076782,-0.055879,-0.028618,-0.030262,-0.015779,-0.073841,-0.069127,-0.090902,0.041908,0.012227,-0.093634,-0.024601,-0.001809,-0.132753,0.050195,0.117411,0.006216,0.094465,-0.119267,-0.000805,-0.089574,-0.040289,-0.081568,0.009445,0.154544,0.000845,0.122169,-0.082541,-0.01689,0.005778,0.05774,-0.054554,0.014986,0.076403,-0.009055,0.008267,0.051147
"C-LHR",-0.201214,0.145607,0.216766,-0.024291,-0.042245,0.17371,-0.059763,0.084793,0.002323,0.254338,0.024447,0.034031,-0.102628,-0.031602,0.075444,0.001148,0.000268,-0.070749,0.115796,-0.07583,0.021911,0.057355,0.09677,0.055979,-0.065933,-0.058563,-0.02703,0.018186,-0.00591,-0.081809,-0.146966,0.155246,0.056074,-0.093545,0.14788,0.01077,0.035935,0.152791,0.056902,-0.136444,-0.037483,-0.078614,-0.08002,0.002762,-0.197096,-0.008996,0.092212,0.035048,-0.047808,-0.053882,-0.064297,-0.07169,-0.030951,0.007226,0.096019,-0.034262,-0.105776,0.053798,-0.043569,-0.03855,-0.059537,0.060563,-0.125149,-0.037898,-0.124013,0.055945,-0.169244,0.0092,-0.127393,0.012906,-0.015833,-0.048393,0.007759,0.178189,0.048686,0.095365,-0.096225,0.057303,-0.105719,0.019779,-0.008683,0.023628,0.112322,-0.055004,0.018663,0.07345,0.160762,0.094623,0.058908,-0.089548,0.083989,0.077854,0.064258,0.028083,-0.058797,-0.005214,0.007824,0.038994,-0.088724,0.071223,0.075467,0.066906,-0.005227,-0.015977,-0.078156,-0.033963,0.14368,0.028823,-0.05482,0.030694,-0.041986,-0.079937,-0.081933,0.082952,-0.062139,-0.195242,-0.0308,-0.090453,-0.120824,-0.260823,-0.065794,0.003621,0.037495,-0.03601,0.091333
"C-RHR",0.057152,-0.011867,0.048745,0.117341,0.046491,-0.025363,-0.176415,0.133792,-0.024541,0.215039,-0.026074,-0.130916,0.091427,-0.005336,-0.040003,0.079056,-0.108794,-0.103212,0.107925,0.035456,0.027841,-0.039338,-0.013402,0.047893,-0.105465,-0.085363,-0.057761,0.068167,-0.087654,0.209524,-0.15596,-0.002638,-0.117313,0.031893,0.034108,0.055941,0.188065,-0.042223,-0.115731,0.057764,-0.046075,0.043964,-0.092181,-0.01136,0.015994,0.026992,0.095327,-0.122554,-0.090393,0.045351,0.023441,-0.045437,0.080813,0.042123,0.061761,0.094562,-0.070224,-0.118119,0.019276,0.069069,-0.070173,-0.01823,0.049045,0.0596,0.059466,-0.049754,0.115104,0.051201,0.170202,0.074526,0.025311,-0.072564,0.067031,0.088434,0.007917,0.107059,-0.249274,0.016366,0.126073,0.020371,-0.023337,0.048315,0.074446,-0.098699,0.014158,-0.08187,-0.010173,-0.039728,-0.10915,0.10541,-0.097506,-0.076375,0.005115,0.010261,0.056493,-0.069881,-0.140197,-0.031948,0.075915,0.073249,-0.119591,0.030542,-0.016503,-0.096583,0.030162,-0.053487,0.004018,-0.074775,-0.009787,0.074988,-0.084898,0.170886,0.025858,0.091538,0.10089,0.042382,-0.006055,-0.099868,-0.014419,-0.053766,0.123399,0.070755,-0.297455,-0.091559,-0.166724
"T-LHR",0.05065,-0.004062,-0.011542,0.064994,0.02596,0.00916,-0.129676,-0.103112,-0.07438,0.091844,-0.043655,-0.004202,-0.175087,0.037981,-0.017491,0.143025,0.094072,0.053338,0.115515,-0.05133,-0.000444,0.059493,-0.136243,-0.093852,0.052039,-0.044627,0.205812,0.077708,-0.036985,0.086376,0.050502,0.064048,0.038067,-0.155423,-0.089828,-0.058146,0.093617,0.146209,-0.11643,-0.148771,-0.004919,-0.004987,0.111145,-0.225661,0.0618,-0.115952,0.098308,0.083152,-0.047527,0.055581,-0.047223,0.109654,-0.080813,-0.048726,-0.010991,-0.108888,-0.063687,-0.046254,-0.063947,0.196123,-0.011931,0.040804,-0.014038,-0.058497,-0.068832,-0.178392,0.102919,0.14531,0.018668,0.002992,0.047309,0.025605,-0.02882,0.100158,0.066602,-0.132566,0.052848,-0.034164,0.109931,-0.066066,0.155628,-0.031513,0.004046,0.121429,0.121344,0.021395,0.095636,-0.037721,-0.021824,-0.050228,-0.071908,0.024877,0.079657,-0.145836,-0.151867,0.003451,0.042978,-0.231672,-0.137773,-0.060413,0.028144,0.015769,0.076517,-0.118571,-0.008454,-0.113917,-0.045262,-0.044773,-0.050728,0.083069,0.146812,-0.030845,0.043307,-0.011614,0.128962,-0.028723,0.062904,0.183173,0.067869,-0.009738,-0.059773,-0.031656,-0.005336,0.069211,-0.070476
"T-RHR",-0.101122,0.017306,0.048457,0.077233,-0.160497,0.114717,0.184435,0.084439,-0.054411,-0.00369,-0.028505,0.00942,0.11083,-0.077001,-0.014597,-0.024312,0.127871,-0.017539,-0.031875,-0.174394,-0.076621,0.077123,0.050813,0.038672,-0.013005,-0.048677,0.029865,-0.025826,0.026059,0.055052,0.029149,0.08951,-0.004448,-0.099157,-0.077463,-0.025882,-0.152477,0.094815,-0.048325,-0.009107,-0.025008,-0.037314,-0.042622,0.283554,0.027871,0.052111,0.047731,0.065574,-0.038553,0.108723,0.002362,-0.00656,-0.120857,0.023542,-0.060826,-0.20134,-0.156379,-0.089059,0.043464,0.151235,0.080229,-0.026312,-0.131319,0.106047,0.061213,-0.02119,0.11243,-0.049057,-0.096245,-0.02837,-0.026391,-0.191149,-0.063294,0.005815,0.010408,-0.089694,0.095433,-0.069066,0.083726,-0.082882,-0.134043,0.032874,0.002036,0.116712,-0.05547,-0.010232,-0.098601,-0.011173,-0.108036,0.051933,-0.063286,0.044623,0.050407,0.08345,0.050637,0.059968,0.0812,-0.011463,0.067314,0.031603,-0.031955,0.122579,-0.004519,-0.062836,-0.064651,-0.070901,-0.076328,-0.019433,-0.058091,0.013823,0.093506,0.070898,0.217835,-0.032944,0.028529,0.042462,0.056092,-0.274123,0.138725,-0.017641,0.135155,-0.104151,-0.14272,0.009644,0.186338
"L-LHR",0.026729,-0.024407,-0.040085,-0.016271,0.027014,0.263708,-0.086485,-0.228825,0.036353,-0.071517,-0.152015,0.033883,-0.014779,0.011958,-0.079639,-0.063074,-0.126175,-0.058011,-0.068249,0.231866,0.135208,0.038737,0.181111,-0.005891,-0.007092,-0.016768,0.101137,0.070976,-0.187288,-0.052081,0.159473,0.047928,0.010259,0.068257,-0.079493,-0.036937,0.036195,0.044932,-0.11017,0.048927,-0.065493,0.013746,-0.035772,0.127967,-0.121696,0.087063,0.201912,0.128938,0.096929,-0.110216,-0.099463,0.052848,-0.087287,-0.111021,0.039868,-0.069526,0.072319,0.093803,-0.026428,-0.133917,0.066985,0.007689,0.087382,-0.024132,-0.028708,-0.058438,-0.061787,0.033261,-0.094597,-0.049709,-0.041723,0.003314,0.045464,-0.065786,-0.011841,-0.037452,-0.101182,-0.01088,0.007762,-0.005633,0.103957,-0.020844,0.102771,-0.024359,-0.153174,0.034637,0.108631,0.01734,-0.049059,0.00235,-0.085399,-0.09571,0.069894,0.007017,0.173081,-0.084795,0.118563,0.07967,0.134748,0.058729,-0.157019,-0.070513,0.114162,-0.149381,-0.162803,-0.067801,-0.049093,0.02112,0.020195,0.001154,0.045664,0.123691,0.093724,0.092811,-0.084044,0.070045,0.068152,0.069263,-0.016266,-0.050011,-0.02655,-0.022267,-0.050064,0.098196,-0.034007
"L-RHR",-0.075908,0.102411,-0.030228,0.120724,-0.180695,-0.121329,-0.127829,-0.034213,0.106177,0.101505,0.031534,0.003622,-0.095252,-0.068066,-0.056092,-0.092705,-0.127459,0.013094,-0.059556,-0.090012,0.003803,-0.123541,-0.010914,0.053898,0.062459,0.113662,-0.061822,0.038738,0.106466,0.082006,-0.031668,0.057105,-0.133897,0.125371,0.052809,0.014772,-0.004104,-0.135249,0.048622,0.073535,-0.024883,0.100316,0.040622,0.088383,-0.057758,0.091297,-0.052527,0.142405,0.075128,-0.087662,-0.061043,0.116396,-0.113482,0.02716,-0.001785,0.085496,-0.003549,-0.004726,0.137583,-0.112158,-0.134145,-0.069472,-0.102293,-0.177578,0.079515,0.107118,0.104806,-0.000983,-0.158767,0.123254,-0.082241,-0.088724,0.00268,0.004721,-0.003129,0.117899,0.035457,-0.016482,0.053852,0.147346,0.090313,0.086929,-0.102528,0.148283,-0.000978,-0.150092,0.048779,0.001741,0.035901,0.001909,0.075656,0.101833,0.029208,-0.026466,-0.079285,0.07466,-0.122293,-0.115843,-0.053224,-0.098118,-0.040426,-0.04758,0.144282,0.057265,-0.025687,-0.102882,-0.10592,0.083958,-0.152883,0.086447,0.02476,0.033882,0.145458,0.030438,-0.116108,0.00553,0.159387,0.083828,0.119415,-0.122238,0.015492,-0.122105,0.042021,0.037728,-0.157149
